Date,SMI_Price_Index,SMI_Total_Return_Synthetic
2000-01-31,6894.7,6894.7
2000-02-29,6910.1,6927.14
2000-03-31,7428.1,7464.78
2000-04-30,7427.8,7482.89
2000-05-31,7754.0,7830.78
2000-06-30,7761.6,7857.78
2000-07-31,8023.2,8142.66
2000-08-31,8219.9,8362.86
2000-09-30,7713.3,7866.8
2000-10-31,7977.5,8156.33
2000-11-30,7981.9,8180.95
2000-12-31,8135.4,8358.85
2001-01-31,8057.4,8299.12
2001-02-28,7701.8,7952.42
2001-03-31,7167.8,7419.29
2001-04-30,7327.2,7602.99
2001-05-31,7487.6,7788.59
2001-06-30,7240.2,7549.82
2001-07-31,6847.3,7157.73
2001-08-31,6582.4,6897.79
2001-09-30,6014.2,6317.91
2001-10-31,6081.0,6403.84
2001-11-30,6237.0,6584.32
2001-12-31,6417.8,6791.89
2002-01-31,6237.3,6617.15
2002-02-28,6352.8,6756.31
2002-03-31,6655.2,7095.37
2002-04-30,6557.6,7008.56
2002-05-31,6574.8,7044.27
2002-06-30,5979.7,6422.48
2002-07-31,5196.7,5595.27
2002-08-31,5230.5,5645.55
2002-09-30,4783.0,5175.27
2002-10-31,4949.1,5368.2
2002-11-30,5117.5,5564.55
2002-12-31,4630.8,5047.75
2003-01-31,4422.5,4832.59
2003-02-28,4148.2,4544.03
2003-03-31,4085.6,4486.49
2003-04-30,4542.7,5000.75
2003-05-31,4630.8,5110.3
2003-06-30,4813.7,5325.24
2003-07-31,5079.1,5632.71
2003-08-31,5124.2,5696.74
2003-09-30,5043.5,5620.85
2003-10-31,5211.4,5822.29
2003-11-30,5317.5,5955.48
2003-12-31,5487.8,6161.37
2004-01-31,5736.4,6456.37
2004-02-29,5798.4,6542.25
2004-03-31,5618.6,6355.01
2004-04-30,5774.4,6547.34
2004-05-31,5627.1,6396.06
2004-06-30,5619.1,6402.72
2004-07-31,5547.2,6336.38
2004-08-31,5421.7,6208.3
2004-09-30,5465.3,6273.66
2004-10-31,5363.4,6171.87
2004-11-30,5444.2,6280.3
2004-12-31,5693.2,6583.74
2005-01-31,5771.4,6690.63
2005-02-28,5931.3,6892.96
2005-03-31,5929.7,6908.1
2005-04-30,5870.8,6856.35
2005-05-31,6127.2,7173.44
2005-06-30,6253.1,7338.89
2005-07-31,6600.9,7766.19
2005-08-31,6517.2,7686.62
2005-09-30,6898.9,8156.88
2005-10-31,7036.6,8340.21
2005-11-30,7407.5,8801.48
2005-12-31,7583.9,9033.29
2006-01-31,7810.9,9326.62
2006-02-28,7892.6,9447.42
2006-03-31,8023.3,9627.55
2006-04-30,8047.3,9680.17
2006-05-31,7604.4,9169.96
2006-06-30,7652.1,9250.24
2006-07-31,7941.8,9624.12
2006-08-31,8168.0,9922.65
2006-09-30,8425.9,10261.19
2006-10-31,8569.7,10462.05
2006-11-30,8484.6,10383.71
2006-12-31,8785.7,10778.72
2007-01-31,9135.1,11235.02
2007-02-28,8789.7,10836.88
2007-03-31,8977.0,11095.1
2007-04-30,9428.3,11681.63
2007-05-31,9450.8,11738.38
2007-06-30,9209.4,11466.76
2007-07-31,8885.0,11090.13
2007-08-31,8881.5,11113.1
2007-09-30,8933.5,11205.74
2007-10-31,9019.6,11341.64
2007-11-30,8828.4,11128.59
2007-12-31,8484.5,10721.47
2008-01-31,7670.4,9716.63
2008-02-29,7533.9,9567.26
2008-03-31,7224.3,9196.72
2008-04-30,7529.0,9608.25
2008-05-31,7511.3,9609.3
2008-06-30,6958.51,8924.07
2008-07-31,7141.21,9180.96
2008-08-31,7238.74,9329.3
2008-09-30,6654.89,8597.99
2008-10-31,6153.21,7969.43
2008-11-30,5816.6,7552.05
2008-12-31,5534.53,7203.54
2009-01-31,5290.05,6902.32
2009-02-28,4690.67,6135.35
2009-03-31,4927.43,6460.93
2009-04-30,5225.92,6869.21
2009-05-31,5349.74,7049.31
2009-06-30,5403.97,7138.33
2009-07-31,5950.69,7879.9
2009-08-31,6217.12,8253.02
2009-09-30,6323.18,8414.51
2009-10-31,6285.76,8385.34
2009-11-30,6260.95,8372.84
2009-12-31,6545.91,8775.51
2010-01-31,6440.72,8655.79
2010-02-28,6710.99,9041.25
2010-03-31,6873.37,9282.85
2010-04-30,6616.82,8958.41
2010-05-31,6312.6,8567.61
2010-06-30,6128.06,8337.66
2010-07-31,6200.78,8457.41
2010-08-31,6180.89,8451.07
2010-09-30,6296.33,8630.14
2010-10-31,6472.23,8893.12
2010-11-30,6312.43,8694.94
2010-12-31,6436.04,8887.07
2011-01-31,6479.15,8968.66
2011-02-28,6610.44,9172.96
2011-03-31,6357.55,8843.8
2011-04-30,6539.7,9119.62
2011-05-31,6554.71,9163.09
2011-06-30,6187.07,8670.48
2011-07-31,5783.35,8124.7
2011-08-31,5528.52,7785.86
2011-09-30,5531.74,7809.61
2011-10-31,5731.27,8111.26
2011-11-30,5652.31,8019.24
2011-12-31,5936.23,8442.82
2012-01-31,5970.49,8512.49
2012-02-29,6109.93,8732.78
2012-03-31,6235.51,8934.25
2012-04-30,6096.34,8756.39
2012-05-31,5849.9,8423.14
2012-06-30,6066.86,8757.08
2012-07-31,6399.27,9259.68
2012-08-31,6388.01,9266.18
2012-09-30,6495.88,9445.89
2012-10-31,6595.13,9613.86
2012-11-30,6820.6,9967.06
2012-12-31,6822.44,9994.33
2013-01-31,7390.86,10853.73
2013-02-28,7593.67,11179.06
2013-03-31,7813.67,11531.31
2013-04-30,7906.21,11696.65
2013-05-31,7947.01,11786.01
2013-06-30,7683.04,11422.62
2013-07-31,7820.43,11655.56
2013-08-31,7745.97,11573.06
2013-09-30,8022.6,12015.93
2013-10-31,8234.29,12363.4
2013-11-30,8264.2,12438.91
2013-12-31,8202.98,12377.22
2014-01-31,8191.33,12390.12
2014-02-28,8475.33,12851.31
2014-03-31,8453.82,12850.31
2014-04-30,8476.66,12916.81
2014-05-31,8674.52,13250.91
2014-06-30,8554.52,13099.83
2014-07-31,8410.27,12910.7
2014-08-31,8658.97,13325.26
2014-09-30,8835.14,13629.9
2014-10-31,8837.78,13667.6
2014-11-30,9150.46,14186.06
2014-12-31,8983.37,13961.37
2015-01-31,8385.13,13063.76
2015-02-28,9014.53,14078.98
2015-03-31,9128.98,14292.89
2015-04-30,9077.12,14246.75
2015-05-31,9237.79,14534.68
2015-06-30,8780.91,13849.9
2015-07-31,9428.17,14907.49
2015-08-31,8824.56,13987.49
2015-09-30,8513.41,13527.58
2015-10-31,8938.65,14238.3
2015-11-30,8993.1,14360.36
2015-12-31,8818.09,14115.63
2016-01-31,8319.81,13350.85
2016-02-29,7843.63,12617.77
2016-03-31,7807.89,12591.25
2016-04-30,7960.85,12869.58
2016-05-31,8216.42,13315.49
2016-06-30,8020.15,13029.48
2016-07-31,8127.2,13235.95
2016-08-31,8202.13,13390.93
2016-09-30,8139.01,13320.65
2016-10-31,7827.74,12842.81
2016-11-30,7875.19,12952.52
2016-12-31,8219.87,13552.77
2017-01-31,8291.69,13704.9
2017-02-28,8545.81,14159.76
2017-03-31,8658.89,14382.51
2017-04-30,8812.67,14674.04
2017-05-31,9016.64,15050.7
2017-06-30,8906.89,14904.17
2017-07-31,9055.0,15189.37
2017-08-31,8925.45,15008.99
2017-09-30,9157.46,15437.11
2017-10-31,9242.18,15618.35
2017-11-30,9318.77,15786.62
2017-12-31,9381.87,15932.71
2018-01-31,9335.4,15892.89
2018-02-28,8906.38,15199.91
2018-03-31,8740.97,14954.41
2018-04-30,8886.26,15240.47
2018-05-31,8456.95,14539.95
2018-06-30,8609.3,14838.39
2018-07-31,9174.33,15851.23
2018-08-31,8973.56,15542.58
2018-09-30,9087.99,15779.6
2018-10-31,9022.16,15703.94
2018-11-30,9037.76,15769.88
2018-12-31,8429.3,14744.46
2019-01-31,8969.27,15727.67
2019-02-28,9388.94,16504.17
2019-03-31,9477.84,16701.53
2019-04-30,9769.74,17258.36
2019-05-31,9523.98,16865.72
2019-06-30,9898.24,17571.71
2019-07-31,9919.27,17652.47
2019-08-31,9895.65,17653.87
2019-09-30,10078.32,18024.1
2019-10-31,10219.82,18322.23
2019-11-30,10493.24,18858.82
2019-12-31,10616.94,19128.2
2020-01-31,10627.88,19195.13
2020-02-29,9831.03,17799.73
2020-03-31,9311.92,16901.42
2020-04-30,9629.4,17520.76
2020-05-31,9831.49,17932.59
2020-06-30,10045.3,18367.76
2020-07-31,10005.9,18340.84
2020-08-31,10135.56,18624.33
2020-09-30,10187.0,18765.02
2020-10-31,9587.15,17703.61
2020-11-30,10476.43,19393.47
2020-12-31,10703.51,19862.69
2021-01-31,10591.06,19702.49
2021-02-28,10522.22,19622.7
2021-03-31,11047.37,20652.86
2021-04-30,11022.34,20656.88
2021-05-31,11426.15,21466.47
2021-06-30,11942.72,22492.3
2021-07-31,12116.82,22876.47
2021-08-31,12411.11,23489.88
2021-09-30,11642.45,22089.42
2021-10-31,12108.17,23029.69
2021-11-30,12159.69,23184.72
2021-12-31,12875.66,24610.4
2022-01-31,12226.7,23427.62
2022-02-28,11986.78,23024.56
2022-03-31,12161.53,23417.83
2022-04-30,12128.76,23412.33
2022-05-31,11611.38,22468.9
2022-06-30,10741.21,20836.32
2022-07-31,11145.91,21674.7
2022-08-31,10855.03,21161.11
2022-09-30,10267.55,20065.22
2022-10-31,10827.93,21212.52
2022-11-30,11127.77,21853.69
2022-12-31,10729.4,21123.3
2023-01-31,11285.78,22273.46
2023-02-28,11098.35,21957.57
2023-03-31,11106.24,22027.38
2023-04-30,11437.14,22739.6
2023-05-31,11217.89,22358.69
2023-06-30,11280.29,22538.51
2023-07-31,11309.25,22652.11
2023-08-31,11125.95,22339.92
2023-09-30,10963.5,22068.03
2023-10-31,10391.16,20967.57
2023-11-30,10854.32,21956.17
2023-12-31,11137.79,22585.13
2024-01-31,11333.38,23038.43
2024-02-29,11438.86,23310.2
2024-03-31,11730.43,23963.31
2024-04-30,11260.91,23060.9
2024-05-31,12000.86,24636.83
2024-06-30,11993.83,24683.12
2024-07-31,12317.44,25411.63
2024-08-31,12436.59,25720.72
2024-09-30,12168.87,25229.1
2024-10-31,11792.92,24509.96
2024-11-30,11764.2,24510.57
2024-12-31,11600.9,24229.95
2025-01-31,12597.09,26375.51
2025-02-28,13004.48,27295.65
2025-03-31,12598.12,26507.94
2025-04-30,12116.98,25558.44
2025-05-31,12227.08,25854.28
2025-06-30,11921.46,25270.21
2025-07-31,11836.0,25150.94
2025-08-31,12187.58,25961.9
2025-09-30,12109.42,25859.02
2025-10-31,12234.5,26190.56
2025-11-30,12543.06,26917.32
